player_name,position,projected_rank,avg_expert_rank,projected_fantasy_total,projected_fantasy_std,projected_fantasy_slope,overall_adp
Patrick Mahomes II,QB,0,1.29,300.12935917572435,74.8453321697449,-10.050736720491741,18.0
Josh Allen,QB,1,2.34,291.1004598890487,70.50941325437331,-8.073553221174775,32.0
Kyler Murray,QB,2,3.31,283.8561317059882,67.21574771391553,-6.474810722522818,38.0
Lamar Jackson,QB,3,4.07,278.0378983323088,65.16520959081686,-5.214964526297794,43.0
Dak Prescott,QB,4,5.26,273.3256837839492,76.53818650103321,-4.256748954586099,57.0
Russell Wilson,QB,5,6.48,269.4355626341143,77.5321289532761,-3.565118814963097,58.0
Aaron Rodgers,QB,6,6.98,266.117568795204,82.2369448747457,-3.1071908656576213,61.0
Justin Herbert,QB,7,7.8,263.1535628355774,67.28804534918206,-2.8521852807164834,60.0
Tom Brady,QB,8,9.83,260.3551578311526,58.64797795295095,-2.7713671151689496,73.0
Ryan Tannehill,QB,9,9.84,257.56170375184195,48.8769618784672,-2.837987770191262,92.0
Jalen Hurts,QB,10,10.87,254.63833038282286,78.31413766380048,-3.027226458271141,86.0
Matthew Stafford,QB,11,11.44,251.47404878064413,87.66848934092349,-3.316131668372247,90.0
Joe Burrow,QB,12,13.29,247.97991126416773,110.37989949542457,-3.683562631098731,107.0
Matt Ryan,QB,13,16.31,244.08722994034596,91.90143469521998,-4.1101307838597165,135.0
Trevor Lawrence,QB,14,16.8,239.74585376483435,84.69481064912793,-4.578141236033755,124.0
Kirk Cousins,QB,15,16.92,234.9225041374399,64.1612241227736,-5.071534234133395,147.0
Tua Tagovailoa,QB,16,18.96,229.59916903240492,68.51017388225803,-5.575826626969654,161.0
Baker Mayfield,QB,17,19.84,223.77155566352621,76.85407405622541,-6.078053330816488,137.0
Ryan Fitzpatrick,QB,18,20.66,217.44760168411008,73.9353509022007,-6.566708794575327,179.0
Ben Roethlisberger,QB,19,21.3,210.6460449217622,72.24595777111767,-7.0316884649395845,160.0
Justin Fields,QB,20,21.62,203.3950516480138,75.2459804922955,-7.4642302515591155,142.0
Trey Lance,QB,21,22.37,195.73090338278286,74.0274714959036,-7.856855992204707,148.0
Daniel Jones,QB,22,23.32,187.69674223367085,67.74385752301656,-8.203312917932685,223.0
Derek Carr,QB,23,23.19,179.34137477009477,86.54207966856798,-8.498515118249266,203.0
Carson Wentz,QB,24,25.01,170.71813443225557,86.74715061239188,-8.738485006275141,221.0
Jameis Winston,QB,25,24.87,161.88380247494086,83.52439924110263,-8.920294783910009,189.0
Sam Darnold,QB,26,25.56,152.89758744616387,80.19855127501866,-9.042007906997,229.0
Zach Wilson,QB,27,25.59,143.8201632006377,85.90353874549423,-9.102620550487103,184.0
Jared Goff,QB,28,28.42,134.71276544808563,84.29470886840929,-9.102003073603974,227.0
Cam Newton,QB,29,29.46,125.63634683638531,78.3996751291525,-9.04084148500798,214.0
Teddy Bridgewater,QB,30,30.32,116.65079056955068,79.20394828978766,-8.920578907961215,338.0
Taysom Hill,QB,31,32.46,107.81418256054741,72.39782522558042,-8.743357045491493,209.0
Jimmy Garoppolo,QB,32,33.15,99.18214211894582,89.06118973574729,-8.511957645557231,336.0
Drew Lock,QB,33,34.47,90.80721117340664,83.29291289013074,-8.2297439662117,325.0
Deshaun Watson,QB,34,33.09,82.73830202900393,87.70946009637618,-7.900602240767682,176.0
Christian McCaffrey,RB,0,1.03,195.9297124238765,126.69516314931718,-5.959161070057214,1.0
Dalvin Cook,RB,1,2.19,190.11030113095927,122.14068565574462,-5.681486652479935,2.0
Alvin Kamara,RB,2,3.77,184.56312349457494,118.16465085257568,-5.414659107927735,4.0
Derrick Henry,RB,3,4.19,179.27743658888932,110.6973828164617,-5.158470542018982,3.0
Ezekiel Elliott,RB,4,5.5,174.2427053824497,109.8061827848404,-4.912713060372045,5.0
Aaron Jones,RB,5,6.48,169.44860273818514,95.06089723863037,-4.677178768605292,8.0
Saquon Barkley,RB,6,7.98,164.88500941340627,96.15725289311575,-4.4516597723370905,7.0
Nick Chubb,RB,7,8.64,160.54201405980533,97.86761207087571,-4.23594817718581,6.0
Jonathan Taylor,RB,8,8.67,156.40991322345621,94.51266134760388,-4.029836088769816,10.0
Austin Ekeler,RB,9,9.13,152.47921134481447,87.18674406234037,-3.8331156127074784,13.0
Antonio Gibson,RB,10,11.06,148.74062075871726,86.55066310520456,-3.645578854617166,16.0
Najee Harris,RB,11,12.1,145.18506169438336,94.7447301913926,-3.4670179201172457,15.0
Joe Mixon,RB,12,12.44,141.8036622754132,87.35686999774241,-3.297224914826086,19.0
Clyde Edwards-Helaire,RB,13,14.5,138.5877585197888,72.86004678531506,-3.1359919443620545,22.0
Chris Carson,RB,14,16.4,135.52889433987391,70.90705096493019,-2.9831111143435205,29.0
David Montgomery,RB,15,16.9,132.61882154241383,74.13992443388197,-2.838374530388851,28.0
D'Andre Swift,RB,16,17.44,129.84949982853547,78.02918538784581,-2.701574298116415,34.0
James Robinson,RB,17,18.08,127.21309679374744,70.11518232784496,-2.57250252314458,50.0
Miles Sanders,RB,18,20.09,124.70198792793998,68.85361871300988,-2.450951311091714,37.0
Josh Jacobs,RB,19,21.13,122.30875661538491,62.44650594549785,-2.3367127675761865,31.0
Darrell Henderson,RB,20,22.24,120.0261941347357,66.27987848025995,-2.229578998216364,45.0
Mike Davis,RB,21,22.67,117.84729965902747,66.13854851333905,-2.129342108630615,54.0
Gus Edwards,RB,22,23.72,115.765280255677,72.67136485737142,-2.035794204437309,97.0
Kareem Hunt,RB,23,24.13,113.77355088648261,77.00799060671528,-1.9487273912548115,49.0
Myles Gaskin,RB,24,24.55,111.8657344076243,70.96494352760766,-1.8679337747014921,47.0
Javonte Williams,RB,25,27.37,110.03566156966377,66.43154237012358,-1.7932054603957193,63.0
Damien Harris,RB,26,27.5,108.27737101754424,57.58745576710604,-1.7243345539558614,70.0
Chase Edmonds,RB,27,27.59,106.58510929059061,61.50938188891718,-1.6611131610002863,62.0
Raheem Mostert,RB,28,30.33,104.95333082250944,63.937150853469056,-1.6033333871473614,64.0
Melvin Gordon III,RB,29,31.38,103.3766979413889,65.39903348098436,-1.5507873380154544,74.0
Trey Sermon,RB,30,31.8,101.85008086969876,66.3025056061765,-1.5032671192229357,77.0
Ronald Jones II,RB,31,32.54,100.36855772429044,61.205893724475565,-1.46056483638817,71.0
Michael Carter,RB,32,34.14,98.92741451639702,59.04362991209263,-1.4224725951295296,84.0
James Conner,RB,33,35.67,97.52214515163321,59.91642979285469,-1.3887825010653794,96.0
Zack Moss,RB,34,36.01,96.14845142999529,69.26125984038725,-1.3592866598140878,91.0
Leonard Fournette,RB,35,37.28,94.80224304586127,74.01515665787085,-1.3337771769940252,83.0
Kenyan Drake,RB,36,38.59,93.47963758799072,72.26569081235648,-1.3120461582235565,103.0
AJ Dillon,RB,37,38.64,92.17696053952487,69.76011768341844,-1.2938857091210538,93.0
Jamaal Williams,RB,38,40.01,90.89074527798653,75.27874292124217,-1.279087935304882,115.0
Devin Singletary,RB,39,41.57,89.61773307528017,72.03428443755604,-1.2674449423934089,106.0
David Johnson,RB,40,42.02,88.354873097692,59.90664960308385,-1.2587488360050072,100.0
Nyheim Hines,RB,41,42.35,87.09932240588967,52.73150954377687,-1.2527917217580393,127.0
Tony Pollard,RB,42,42.87,85.84844595492262,56.68537623837998,-1.2493657052708746,122.0
Phillip Lindsay,RB,43,44.67,84.59981659422186,55.84077451795804,-1.2482628921618852,143.0
J.D. McKissic,RB,44,48.83,83.35121506760007,66.88183199721098,-1.249275388049436,146.0
James White,RB,45,49.01,82.10063001325136,60.94539979219025,-1.2521952985518938,168.0
Latavius Murray,RB,46,49.38,80.84625796375187,60.37739359283797,-1.2568147292876288,138.0
Sony Michel,RB,47,48.23,79.58650334605895,50.61032469473445,-1.2629257858750096,140.0
Alexander Mattison,RB,48,51.24,78.31997848151181,53.29613620545796,-1.2703205739324046,139.0
Tevin Coleman,RB,49,52.37,77.04550358583134,56.232176935524144,-1.2787911990781806,159.0
Giovani Bernard,RB,50,52.76,75.7621067691199,62.1635280929719,-1.2881297669307026,165.0
Rashaad Penny,RB,51,55.56,74.46902403586151,55.86165549089835,-1.2981283831083443,158.0
Darrel Williams,RB,52,61.67,73.165699284922,60.297609868301606,-1.3085791532294726,186.0
Tarik Cohen,RB,53,57.91,71.8517843095486,54.90621433967065,-1.319274182912456,188.0
Malcolm Brown,RB,54,59.8,70.52713879737036,61.32136714545025,-1.3300055777756592,213.0
Marlon Mack,RB,55,61.81,69.19183033039778,50.38204775316768,-1.340565443437451,166.0
Damien Williams,RB,56,63.52,67.84613438502313,48.64791947386654,-1.3507458855162051,198.0
Salvon Ahmed,RB,57,60.64,66.49053433202025,48.59898640184478,-1.3603390096302812,217.0
Carlos Hyde,RB,58,60.31,65.1257214365447,53.26773306101484,-1.369136921398053,289.0
Kenneth Gainwell,RB,59,63.49,63.75259485813345,67.79449176632713,-1.3769317264378893,205.0
Darrynton Evans,RB,60,64.06,62.37226165070544,62.289104926885834,-1.3835155303681548,228.0
Chuba Hubbard,RB,61,65.35,60.98603676256087,61.905677178599824,-1.3886804388072198,157.0
Justin Jackson,RB,62,64.39,59.595443036381965,44.49546639257145,-1.3922185573734494,256.0
Rhamondre Stevenson,RB,63,64.4,58.20221120923216,55.65530033535334,-1.3939219916852172,183.0
Mark Ingram II,RB,64,66.97,56.808279912556856,52.38795477218613,-1.3935828473608867,196.0
Boston Scott,RB,65,65.3,55.41579567218295,48.70517361533437,-1.390993230018828,245.0
Joshua Kelley,RB,66,67.46,54.02711290831897,38.62949362569716,-1.3859452452774095,288.0
Jerick McKinnon,RB,67,71.49,52.64479393555504,34.917290083516015,-1.3782309987549928,241.0
Ty Johnson,RB,68,68.88,51.271608962863155,38.914095887101915,-1.3676425960699587,242.0
Benny Snell Jr.,RB,69,70.15,49.910536093596676,37.21624864541443,-1.353972142840667,263.0
Devontae Booker,RB,70,69.71,48.56476132549048,35.27444350919518,-1.337011744685488,210.0
Anthony McFarland Jr.,RB,71,75.8,47.23767855066146,47.92103071914445,-1.3165535072227863,260.0
Wayne Gallman,RB,72,75.46,45.93288955560794,47.273387821893216,-1.2923895360709325,314.0
Matt Breida,RB,73,75.31,44.65420402120989,53.7978038929444,-1.264311936848297,394.0
Samaje Perine,RB,74,74.14,43.405639522728876,37.943713999801936,-1.2321128151732461,333.0
La'Mical Perine,RB,75,74.94,42.19142152980808,41.59772799008258,-1.195584276664147,273.0
Jeff Wilson Jr.,RB,76,74.67,41.0159834064726,40.33779014249847,-1.1545184269393696,272.0
Xavier Jones,RB,77,71.33,39.883966411128455,46.67344174217664,-1.108707371617279,182.0
DeeJay Dallas,RB,78,83.34,38.80021969656414,40.22261519486089,-1.0579432163162439,431.0
Justice Hill,RB,79,84.24,37.76980030994949,41.09409491019774,-1.0020180666546397,393.0
Davante Adams,WR,0,1.27,187.14301696777642,97.74502925205057,-3.2397202933338063,9.0
Tyreek Hill,WR,1,2.26,183.93648107931782,92.13712395053659,-3.1735063723154915,11.0
Stefon Diggs,WR,2,3.09,180.79569493638255,88.81785289339409,-3.108220311585839,14.0
Calvin Ridley,WR,3,4.36,177.71973215078592,84.55718351477076,-3.043859166936899,21.0
DeAndre Hopkins,WR,4,4.78,174.70766927855115,89.12841893430173,-2.9804199941607195,17.0
D.K. Metcalf,WR,5,6.89,171.75858581990954,83.48216257239662,-2.91789984904935,20.0
A.J. Brown,WR,6,7.48,168.87156421930018,85.49083266137839,-2.8562957873948402,24.0
Justin Jefferson,WR,7,7.56,166.0456898653702,79.40260436690293,-2.795604864989238,23.0
Keenan Allen,WR,8,9.59,163.28005109097472,81.32273930869158,-2.7358241376245935,27.0
Allen Robinson II,WR,9,10.09,160.5737391731767,74.29021336938759,-2.6769506610929548,33.0
Terry McLaurin,WR,10,10.75,157.92584833324713,77.54044857641783,-2.618981491186372,30.0
CeeDee Lamb,WR,11,12.3,155.3354757366649,73.66823108407208,-2.5619136836968934,35.0
Robert Woods,WR,12,15.09,152.80172149311696,75.74493202203907,-2.5057442944165684,39.0
Mike Evans,WR,13,15.34,150.32368865649804,74.91321122413729,-2.450470379137446,36.0
Chris Godwin,WR,14,15.64,147.90048322491097,72.4289673158964,-2.3960889936515755,40.0
Amari Cooper,WR,15,15.76,145.53121414066646,71.73177920662604,-2.3425971937510055,42.0
Julio Jones,WR,16,18.13,143.2149932902832,72.75904320547092,-2.2899920352277854,41.0
D.J. Moore,WR,17,18.22,140.95093550448775,75.96000487586043,-2.2382705738739643,53.0
Cooper Kupp,WR,18,18.61,138.73815855821476,79.9141101553439,-2.187429865481591,44.0
Tyler Lockett,WR,19,19.89,136.57578317060674,75.19554960855587,-2.137466965842715,51.0
Diontae Johnson,WR,20,20.79,134.46293300501415,71.5986790767947,-2.088378930749385,55.0
Adam Thielen,WR,21,22.47,132.39873466899544,73.19866859598586,-2.0401628159936505,48.0
Tee Higgins,WR,22,23.72,130.38231771431697,74.27465232535341,-1.99281567736756,65.0
Brandon Aiyuk,WR,23,24.21,128.4128146369531,72.00031035598406,-1.9463345706631632,59.0
Odell Beckham Jr.,WR,24,27.51,126.48936087708607,68.88585795801484,-1.9007165516725086,67.0
Chase Claypool,WR,25,27.94,124.61109481910614,64.11501409263485,-1.8559586761876457,69.0
Kenny Golladay,WR,26,28.6,122.77715779161149,62.80698211123059,-1.812058000000623,66.0
Ja'Marr Chase,WR,27,29.21,120.98669406740827,66.9455426209808,-1.7690115789034901,68.0
Jerry Jeudy,WR,28,29.77,119.23885086351054,70.97362347823048,-1.726816468688296,75.0
Robby Anderson,WR,29,31.23,117.53277834114034,68.95386387042555,-1.6854697251470898,78.0
JuJu Smith-Schuster,WR,30,31.82,115.86762960572767,66.22150460295573,-1.6449684040719204,76.0
Courtland Sutton,WR,31,32.09,114.24256070691047,64.70642632445217,-1.6053095612548367,80.0
Tyler Boyd,WR,32,33.26,112.65673063853463,66.72513372827545,-1.5664902524878883,88.0
Brandin Cooks,WR,33,36.1,111.10930133865398,67.8157361832346,-1.5285075335631237,98.0
Deebo Samuel,WR,34,36.34,109.5994376895303,67.59300314436454,-1.4913584602725927,82.0
D.J. Chark Jr.,WR,35,38.68,108.12630751763335,68.27915381389724,-1.4550400884083436,89.0
Will Fuller V,WR,36,38.97,106.68908159364082,62.78002214277177,-1.4195494737624261,105.0
DeVonta Smith,WR,37,39.34,105.28693363243838,54.01559783874046,-1.3848836721268887,85.0
Corey Davis,WR,38,39.56,103.91904029311958,56.188115649059135,-1.351039739293781,109.0
Antonio Brown,WR,39,39.59,102.58458117898599,55.38386514112049,-1.3180147310551518,95.0
Laviska Shenault Jr.,WR,40,41.15,101.28273883754709,60.36657326845365,-1.28580570320305,108.0
