player_name,position,projected_rank,avg_expert_rank,projected_fantasy_total,projected_fantasy_std,projected_fantasy_slope,overall_adp
Darnell Mooney,WR,24,26.31,126.35342770941682,71.63291949624528,-2.0036003965841935,73.0
Michael Thomas,WR,25,26.81,124.37231554703384,70.2355231457384,-1.9586618341178905,66.0
Rashod Bateman,WR,26,28.35,122.43602412525486,74.12516921771953,-1.9139630194300945,85.0
Amari Cooper,WR,27,28.77,120.54430138413967,72.96320090748944,-1.8695285768441954,68.0
Chris Godwin,WR,28,29.2,118.6968706394247,75.54557848669165,-1.825383130683584,64.0
Gabriel Davis,WR,29,29.49,116.89343058252295,70.77776174289023,-1.78155130527165,70.0
Amon-Ra St. Brown,WR,30,30.2,115.13365528052405,66.95427844930201,-1.7380577249317837,69.0
JuJu Smith-Schuster,WR,31,30.5,113.41719417619423,61.32264951875449,-1.6949270139873749,76.0
Elijah Moore,WR,32,30.91,111.74367208797635,63.36915792402484,-1.6521837967618143,84.0
Adam Thielen,WR,33,32.91,110.11268920998987,77.14104773004375,-1.6098526975784917,72.0
Brandon Aiyuk,WR,34,36.44,108.52382111203082,78.86735418409826,-1.5679583407607969,97.0
DeVonta Smith,WR,35,36.44,106.97661873957193,78.2927558136057,-1.5265253506321208,92.0
Drake London,WR,36,38.13,105.47060841376245,60.197248741117726,-1.4855783515158532,105.0
Hunter Renfrow,WR,37,38.68,104.0052918314283,53.0164222817379,-1.4451419677353843,81.0
Allen Lazard,WR,38,39.3,102.58014606507194,56.61329021822821,-1.4052408236141036,102.0
Tyler Lockett,WR,39,39.42,101.19462356287255,60.522619448342525,-1.3658995434754022,98.0
Christian Kirk,WR,40,40.66,99.84815214868581,65.75188420113906,-1.3271427516426697,104.0
DeAndre Hopkins,WR,41,41.91,98.5401350220441,67.5844064329109,-1.2889950724392962,88.0
Robert Woods,WR,42,42.3,97.26995075815631,63.95759741161849,-1.2514811301886724,100.0
Kadarius Toney,WR,43,44.27,96.03695330790802,58.96397167385822,-1.2146255492141877,117.0
Treylon Burks,WR,44,46.31,94.84047199786144,53.26151633423726,-1.1784529538392328,121.0
Chris Olave,WR,45,47.67,93.67981153025526,63.396512785273394,-1.142987968387197,119.0
Chase Claypool,WR,46,47.99,92.55425198300492,67.53537879429484,-1.1082552171814717,114.0
Russell Gage,WR,47,51.35,91.4630488097024,69.10551799482683,-1.0742793245454458,109.0
Tyler Boyd,WR,48,51.39,90.40543283961634,67.1476994261324,-1.0410849148025103,127.0
Skyy Moore,WR,49,51.41,89.38061027769191,68.88906257648355,-1.0086966122760552,132.0
Garrett Wilson,WR,50,51.41,88.38776270455094,63.50166858350172,-0.9771390412894707,129.0
Jakobi Meyers,WR,51,54.47,87.4260470764919,57.896364211312,-0.9464368261661464,180.0
Marquez Valdes-Scantling,WR,52,55.94,86.49459572548977,54.26859834809322,-0.916614591229473,131.0
DeVante Parker,WR,53,56.5,85.59251635919625,62.581694252836876,-0.88769696080284,142.0
Jarvis Landry,WR,54,57.41,84.7188920609396,63.655021971736225,-0.8597085592096376,128.0
Kenny Golladay,WR,55,59.24,83.87278128972471,59.89872007536277,-0.8326740107732569,147.0
Rondale Moore,WR,56,59.62,83.05321788023303,51.085548728470066,-0.806617939817087,152.0
DJ Chark Jr.,WR,57,60.06,82.25921104282267,53.20841750032497,-0.7815649706645189,163.0
Michael Gallup,WR,58,60.31,81.48974536352831,57.26604176608992,-0.7575397276389424,159.0
George Pickens,WR,59,60.63,80.74378080406132,56.01886352530428,-0.7345668350637471,148.0
Julio Jones,WR,60,62.44,80.02025270180957,57.92086181449076,-0.7126709172623236,149.0
Jahan Dotson,WR,61,62.53,79.31807176983762,52.4101229619707,-0.6918765985580619,191.0
Corey Davis,WR,62,66.05,78.63612409688658,54.76706238444986,-0.6722085032743523,228.0
Robbie Anderson,WR,63,68.36,77.97327114737426,49.38237933604343,-0.6536912557345849,229.0
Mecole Hardman,WR,64,69.5,77.32834976139497,54.51337582648867,-0.6363494802621501,155.0
Van Jefferson,WR,65,70.5,76.70017215471971,51.167991057778394,-0.6202078011804377,207.0
Nico Collins,WR,66,67.88,76.08752591879608,54.47861617185224,-0.6052908428128378,241.0
